time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.075 sec,-12.486,130.907,29.396,6.546,-6.369,31.715,1.023,-1.036,7.754,2.045,-2.072,15.508,26.008,10.175,73.888,204.608,-0.278,0.317,0.385,4.867,5.213,-27.164,-0.344,0.067,0.376,9.408,7.354,-3.338,-0.398,0.083,0.376,1.127,1.532,-1.461
0.076 sec,-11.697,131.125,29.681,6.586,-6.484,31.805,1.03,-1.051,7.779,2.06,-2.102,15.558,26.086,10.404,63.687,204.625,-0.276,0.317,0.386,4.876,5.2,-27.565,-0.344,0.068,0.376,9.606,7.434,-3.712,-0.397,0.084,0.377,1.101,1.531,-1.784
0.077 sec,-10.924,131.159,29.863,6.613,-6.572,31.844,1.036,-1.064,7.795,2.073,-2.127,15.589,26.144,10.608,54.753,204.653,-0.274,0.317,0.386,4.883,5.188,-27.917,-0.344,0.068,0.377,9.784,7.504,-4.052,-0.397,0.084,0.377,1.079,1.533,-2.077
0.078 sec,-10.103,131.08,29.995,6.635,-6.651,31.854,1.042,-1.075,7.804,2.084,-2.151,15.609,26.194,10.808,46.08,204.705,-0.273,0.317,0.387,4.889,5.176,-28.259,-0.343,0.069,0.377,9.96,7.571,-4.39,-0.396,0.085,0.378,1.058,1.536,-2.37
0.079 sec,-9.231,130.908,30.097,6.652,-6.725,31.84,1.048,-1.087,7.808,2.096,-2.173,15.617,26.235,11.009,37.389,204.785,-0.271,0.317,0.387,4.895,5.165,-28.602,-0.343,0.069,0.378,10.142,7.637,-4.737,-0.396,0.086,0.379,1.038,1.54,-2.67
0.08 sec,-8.346,130.659,30.173,6.665,-6.795,31.804,1.053,-1.097,7.807,2.106,-2.194,15.614,26.267,11.208,28.87,204.89,-0.269,0.317,0.387,4.901,5.153,-28.937,-0.343,0.07,0.378,10.323,7.7,-5.085,-0.396,0.087,0.379,1.02,1.545,-2.972
0.081 sec,-7.45,130.348,30.239,6.675,-6.862,31.75,1.058,-1.107,7.8,2.116,-2.214,15.599,26.291,11.408,20.387,205.017,-0.267,0.318,0.388,4.907,5.141,-29.269,-0.342,0.071,0.378,10.507,7.763,-5.44,-0.395,0.088,0.38,1.002,1.552,-3.281
0.082 sec,-6.594,130.044,30.327,6.683,-6.93,31.693,1.063,-1.116,7.787,2.125,-2.232,15.575,26.306,11.604,12.153,205.15,-0.265,0.318,0.388,4.912,5.13,-29.593,-0.342,0.071,0.379,10.69,7.822,-5.792,-0.395,0.089,0.38,0.985,1.56,-3.587
0.083 sec,-5.769,129.758,30.42,6.69,-6.997,31.639,1.067,-1.125,7.77,2.134,-2.25,15.539,26.314,11.803,3.903,205.282,-0.264,0.318,0.389,4.917,5.118,-29.918,-0.341,0.072,0.379,10.879,7.881,-6.156,-0.394,0.09,0.381,0.969,1.569,-3.904
0.084 sec,-5.05,129.423,30.508,6.689,-7.058,31.572,1.072,-1.133,7.746,2.143,-2.266,15.493,26.314,12.002,-4.133,205.396,-0.262,0.318,0.389,4.922,5.106,-30.24,-0.341,0.073,0.38,11.069,7.937,-6.524,-0.394,0.091,0.381,0.954,1.58,-4.225
