time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz
0.056 sec,-355.122,1035.949,46.035,27.962,-8.901,228.095,1.849,0.103,1.3,6.568,0.944,3.319,14.676,22.088,177.261,530.007,-0.331,0.316,0.404,5.224,-5.894,-12.585,-0.333,0.048,0.374,20.684,5.311,-0.684
0.057 sec,-352.248,1035.704,43.834,28.304,-8.519,227.767,1.928,0.122,1.305,6.998,1.075,3.343,14.851,22.616,171.755,523.28,-0.329,0.316,0.405,5.232,-6.06,-12.798,-0.333,0.048,0.375,21.092,5.428,-0.778
0.058 sec,-349.123,1035.854,41.417,28.688,-8.079,227.501,2.014,0.143,1.309,7.474,1.224,3.367,15.03,23.168,166.385,516.416,-0.328,0.316,0.406,5.239,-6.231,-13.016,-0.333,0.047,0.375,21.519,5.555,-0.875
0.059 sec,-346.293,1036.296,39.124,29.047,-7.643,227.328,2.096,0.165,1.312,7.926,1.368,3.386,15.19,23.666,161.87,510.302,-0.327,0.315,0.407,5.245,-6.381,-13.207,-0.333,0.047,0.376,21.904,5.672,-0.961
0.06 sec,-343.587,1037.162,36.561,29.388,-7.142,227.228,2.18,0.188,1.314,8.399,1.523,3.404,15.346,24.162,157.723,504.168,-0.326,0.315,0.408,5.251,-6.528,-13.392,-0.333,0.047,0.376,22.288,5.793,-1.045
0.061 sec,-340.805,1038.568,33.576,29.69,-6.564,227.173,2.269,0.213,1.316,8.901,1.69,3.421,15.502,24.664,153.889,497.787,-0.325,0.315,0.409,5.257,-6.675,-13.576,-0.333,0.047,0.377,22.676,5.917,-1.128
0.062 sec,-338.037,1040.332,30.227,29.964,-5.892,227.209,2.355,0.238,1.317,9.387,1.855,3.437,15.644,25.128,150.609,491.603,-0.325,0.314,0.41,5.262,-6.809,-13.741,-0.333,0.047,0.378,23.034,6.034,-1.202
0.063 sec,-335.274,1043.236,25.846,30.167,-5.034,227.326,2.455,0.268,1.318,9.957,2.051,3.454,15.803,25.648,147.349,484.186,-0.324,0.314,0.411,5.268,-6.958,-13.923,-0.333,0.047,0.378,23.437,6.168,-1.284
0.064 sec,-331.855,1045.998,21.155,30.351,-4.101,227.42,2.555,0.299,1.318,10.531,2.252,3.47,15.955,26.148,144.45,476.429,-0.323,0.313,0.412,5.275,-7.1,-14.094,-0.332,0.046,0.379,23.824,6.297,-1.36
0.065 sec,-329.573,1041.412,17.372,30.278,-3.258,225.979,2.647,0.328,1.319,11.06,2.44,3.485,16.089,26.591,142.439,468.948,-0.322,0.313,0.413,5.281,-7.226,-14.243,-0.332,0.046,0.379,24.167,6.413,-1.425
0.066 sec,-327.834,1031.608,11.033,29.984,-1.758,223.334,2.746,0.361,1.319,11.634,2.648,3.503,16.231,27.054,141.286,460.477,-0.321,0.313,0.414,5.288,-7.358,-14.395,-0.332,0.046,0.38,24.526,6.535,-1.489
0.067 sec,-324.517,1036.599,5.761,30.134,-0.716,223.823,2.85,0.395,1.32,12.236,2.869,3.523,16.375,27.521,139.607,451.413,-0.321,0.312,0.415,5.297,-7.491,-14.547,-0.332,0.046,0.38,24.889,6.658,-1.551
0.068 sec,-320.997,1041.55,0.475,30.285,0.353,224.32,2.958,0.432,1.321,12.866,3.104,3.545,16.522,27.994,138.022,441.32,-0.32,0.312,0.416,5.307,-7.626,-14.699,-0.332,0.046,0.381,25.255,6.783,-1.609
0.069 sec,-317.797,1046.245,-4.371,30.416,1.354,224.8,3.06,0.468,1.323,13.463,3.33,3.569,16.658,28.427,136.651,431.123,-0.319,0.311,0.416,5.317,-7.751,-14.837,-0.332,0.045,0.381,25.592,6.897,-1.66
0.07 sec,-314.741,1051.173,-9.417,30.493,2.412,225.316,3.163,0.504,1.325,14.068,3.563,3.595,16.794,28.851,135.411,420.084,-0.318,0.311,0.417,5.329,-7.876,-14.972,-0.332,0.045,0.382,25.924,7.007,-1.707
0.071 sec,-311.305,1055.451,-14.096,30.531,3.447,225.753,3.264,0.541,1.328,14.665,3.796,3.624,16.927,29.26,134.286,408.314,-0.318,0.31,0.418,5.343,-7.999,-15.102,-0.332,0.045,0.382,26.243,7.111,-1.749
0.072 sec,-308.265,1059.46,-18.576,30.549,4.498,226.198,3.361,0.576,1.332,15.236,4.021,3.656,17.053,29.64,133.261,396.23,-0.317,0.31,0.419,5.358,-8.115,-15.223,-0.332,0.045,0.383,26.542,7.206,-1.784
0.073 sec,-305.231,1063.221,-22.73,30.538,5.54,226.631,3.462,0.614,1.336,15.836,4.262,3.694,17.186,30.03,132.232,382.609,-0.316,0.31,0.42,5.376,-8.239,-15.348,-0.331,0.044,0.383,26.85,7.301,-1.818
0.074 sec,-302.199,1066.949,-26.679,30.507,6.578,227.062,3.562,0.652,1.342,16.432,4.505,3.737,17.32,30.411,131.24,368.08,-0.316,0.309,0.421,5.396,-8.363,-15.473,-0.331,0.044,0.383,27.152,7.39,-1.847
0.075 sec,-299.299,1070.502,-30.339,30.455,7.594,227.495,3.657,0.689,1.349,17.001,4.741,3.784,17.449,30.767,130.292,353.12,-0.315,0.309,0.422,5.418,-8.483,-15.591,-0.331,0.044,0.384,27.437,7.47,-1.871
0.076 sec,-296.085,1073.819,-33.446,30.341,8.58,227.887,3.756,0.728,1.358,17.595,4.991,3.841,17.587,31.135,129.312,336.195,-0.315,0.308,0.422,5.445,-8.612,-15.717,-0.331,0.044,0.384,27.733,7.548,-1.892
0.077 sec,-293.184,1076.525,-35.932,30.179,9.561,228.264,3.847,0.764,1.369,18.146,5.228,3.902,17.719,31.471,128.38,319.02,-0.314,0.308,0.423,5.474,-8.737,-15.836,-0.331,0.044,0.384,28.006,7.613,-1.907
0.078 sec,-290.147,1078.151,-37.519,29.973,10.443,228.526,3.932,0.798,1.38,18.657,5.451,3.967,17.847,31.781,127.486,301.68,-0.314,0.307,0.424,5.505,-8.857,-15.95,-0.331,0.043,0.385,28.261,7.668,-1.917
0.079 sec,-287.134,1078.654,-37.955,29.773,11.214,228.695,4.009,0.83,1.393,19.124,5.66,4.037,17.97,32.064,126.542,284.495,-0.313,0.307,0.425,5.537,-8.973,-16.059,-0.331,0.043,0.385,28.496,7.713,-1.922
0.08 sec,-284.551,1078.501,-37.337,29.577,11.867,228.828,4.079,0.859,1.407,19.554,5.856,4.111,18.089,32.326,125.52,267.445,-0.313,0.307,0.425,5.572,-9.086,-16.164,-0.331,0.043,0.385,28.716,7.748,-1.923
0.081 sec,-282.16,1077.838,-35.977,29.356,12.489,228.947,4.15,0.889,1.423,19.986,6.058,4.197,18.218,32.591,124.327,248.958,-0.312,0.306,0.426,5.612,-9.207,-16.277,-0.331,0.043,0.386,28.943,7.777,-1.92
0.082 sec,-279.997,1076.718,-34.058,29.124,12.992,229.017,4.214,0.916,1.442,20.383,6.248,4.29,18.344,32.837,123.05,230.602,-0.312,0.306,0.427,5.655,-9.327,-16.389,-0.331,0.043,0.386,29.156,7.798,-1.913
