time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.029 sec,-164.614,971.196,-4.777,1.492,12.321,188.226,-1.062,-0.229,0.259,-0,-0,-0,1.542,-5.845,932.41,-175.082,-0.365,0.334,0.376,4.19,4.604,-5.087,-0.335,0.058,0.366,-0.782,1.065,-2.628,-0.388,0.073,0.359,4.008,4.349,-3.562
0.03 sec,-166.581,1219.667,194.359,3.34,10.59,206.142,-1.116,-0.264,0.398,-0,-0,-0,2.617,-6.06,917.756,-194.151,-0.365,0.331,0.375,4.242,4.819,-5.199,-0.335,0.056,0.365,-0.972,0.896,-1.652,-0.389,0.07,0.358,3.936,4.383,-2.612
0.031 sec,288.784,3964.192,784.279,35.583,-2.45,332.518,-1.154,-0.292,0.514,-0,-0,-0,3.443,-6.226,883.6,-157.195,-0.365,0.329,0.375,4.273,5.024,-5.287,-0.336,0.055,0.365,-1.122,0.801,-0.9,-0.389,0.068,0.358,3.873,4.448,-1.883
0.032 sec,1085.86,9210.808,390.397,88.494,-18.013,563.645,-1.189,-0.323,0.648,0,-0,-0,4.314,-6.391,780.572,-178.442,-0.365,0.327,0.375,4.288,5.313,-5.413,-0.336,0.053,0.365,-1.288,0.778,-0.134,-0.39,0.066,0.358,3.791,4.589,-1.146
0.033 sec,1399.826,11670.105,459.241,107.847,-15.374,682.738,-1.23,-0.349,0.762,0,-0,-0,4.994,-6.583,666.295,-230.403,-0.365,0.325,0.375,4.302,5.576,-5.583,-0.337,0.052,0.365,-1.466,0.763,0.406,-0.391,0.064,0.357,3.729,4.736,-0.641
0.034 sec,1227.987,10523.997,421.123,100.488,-16.569,630.998,-1.284,-0.376,0.867,0,-0,-0,5.585,-6.829,562.044,-274.578,-0.364,0.324,0.374,4.32,5.844,-5.835,-0.337,0.051,0.365,-1.683,0.75,0.785,-0.391,0.063,0.357,3.68,4.905,-0.307
0.035 sec,772.015,7450.417,331.367,77.9,-19.136,492.156,-1.35,-0.402,0.966,0,-0,-0,6.106,-7.12,472.724,-297.837,-0.363,0.323,0.374,4.342,6.118,-6.177,-0.337,0.051,0.365,-1.937,0.741,1.016,-0.391,0.062,0.357,3.64,5.093,-0.13
0.036 sec,320.745,4561.067,250.471,55.18,-20.244,363.957,-1.422,-0.426,1.055,0,-0,-0,6.552,-7.424,408.348,-296.756,-0.361,0.323,0.373,4.367,6.38,-6.575,-0.337,0.051,0.364,-2.2,0.736,1.122,-0.391,0.062,0.357,3.61,5.282,-0.083
0.037 sec,8.519,2692.302,195.513,38.624,-18.765,282.581,-1.491,-0.447,1.136,0,-0,-0,6.94,-7.715,366.503,-279.932,-0.359,0.322,0.373,4.393,6.618,-6.995,-0.337,0.051,0.364,-2.451,0.734,1.146,-0.391,0.062,0.357,3.587,5.459,-0.115
0.038 sec,-176.208,1686.162,153.348,27.203,-14.7,239.831,-1.558,-0.466,1.214,0,-0,-0,7.3,-7.99,337.455,-257.138,-0.357,0.322,0.373,4.422,6.838,-7.43,-0.337,0.051,0.364,-2.69,0.734,1.126,-0.391,0.062,0.356,3.568,5.622,-0.19
