time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.062 sec,-340.362,1056.381,6.818,30.565,-0.068,231.058,3.325,0.414,1.763,9.069,1.743,3.489,15.663,24.886,151.885,478.477,-0.324,0.314,0.409,5.277,-6.731,-13.781,-0.333,0.047,0.377,22.858,5.957,-1.196,-0.387,0.061,0.379,3.332,-9.254,1.289
0.063 sec,-338.674,1064.291,-4.753,31.053,2.661,232.501,3.465,0.458,1.768,9.546,1.907,3.508,15.808,25.339,149.213,466.806,-0.324,0.314,0.41,5.284,-6.862,-13.945,-0.333,0.047,0.378,23.21,6.071,-1.267,-0.387,0.061,0.379,3.316,-9.405,1.258
0.064 sec,-336.425,1074.58,-18.77,31.563,5.94,234.281,3.638,0.515,1.774,10.136,2.113,3.534,15.981,25.876,146.676,450.278,-0.323,0.313,0.411,5.293,-7.018,-14.139,-0.332,0.046,0.378,23.627,6.207,-1.347,-0.386,0.06,0.38,3.298,-9.585,1.225
0.065 sec,-335.379,1073.941,-26.527,31.652,7.843,233.864,3.743,0.549,1.779,10.492,2.24,3.551,16.085,26.192,145.769,439.183,-0.322,0.313,0.412,5.3,-7.109,-14.252,-0.332,0.046,0.379,23.872,6.286,-1.392,-0.386,0.06,0.381,3.289,-9.69,1.207
0.066 sec,-333.723,1070.765,-40.921,31.761,11.424,232.703,3.922,0.61,1.788,11.105,2.462,3.585,16.263,26.718,145.226,418.077,-0.321,0.313,0.413,5.314,-7.264,-14.444,-0.332,0.046,0.379,24.282,6.418,-1.463,-0.386,0.06,0.381,3.274,-9.87,1.181
0.067 sec,-331.675,1080.465,-50.008,32.249,13.589,234.391,4.059,0.657,1.797,11.578,2.638,3.616,16.404,27.114,144.535,400.266,-0.32,0.312,0.414,5.326,-7.381,-14.589,-0.332,0.046,0.38,24.592,6.515,-1.512,-0.386,0.06,0.382,3.265,-10.007,1.164
0.068 sec,-329.153,1091.208,-58.85,32.728,15.654,236.132,4.202,0.707,1.809,12.068,2.823,3.654,16.552,27.515,144.086,379.891,-0.32,0.312,0.415,5.342,-7.503,-14.741,-0.332,0.046,0.38,24.907,6.612,-1.558,-0.386,0.06,0.383,3.257,-10.149,1.15
0.069 sec,-326.627,1101.096,-65.951,33.185,17.344,237.727,4.328,0.753,1.821,12.505,2.992,3.695,16.689,27.868,143.787,359.828,-0.319,0.312,0.416,5.359,-7.613,-14.878,-0.332,0.046,0.381,25.185,6.694,-1.595,-0.386,0.059,0.383,3.253,-10.278,1.14
0.07 sec,-323.63,1109.854,-71.39,33.612,18.809,239.229,4.451,0.798,1.837,12.933,3.161,3.742,16.831,28.211,143.553,337.922,-0.318,0.311,0.416,5.379,-7.723,-15.016,-0.332,0.045,0.381,25.457,6.77,-1.627,-0.386,0.059,0.384,3.251,-10.408,1.133
0.071 sec,-321.157,1117.533,-75.376,33.989,20.142,240.701,4.57,0.842,1.855,13.345,3.328,3.798,16.975,28.541,143.36,314.434,-0.318,0.311,0.417,5.403,-7.834,-15.156,-0.332,0.045,0.381,25.721,6.839,-1.653,-0.386,0.059,0.384,3.253,-10.539,1.127
0.072 sec,-318.604,1124.177,-77.836,34.304,21.271,242.085,4.68,0.884,1.877,13.731,3.489,3.861,17.123,28.851,143.201,289.738,-0.317,0.31,0.418,5.43,-7.944,-15.295,-0.332,0.045,0.382,25.973,6.898,-1.674,-0.386,0.059,0.384,3.258,-10.669,1.124
