time,Fx,Fy,Fz,Mx,My,Mz,ankle_bushing_r_MX,ankle_bushing_r_MY,ankle_bushing_r_MZ,brace_bushing_r_MX,brace_bushing_r_MY,brace_bushing_r_MZ,ankle_angle_r_q,subtalar_angle_r_q,ankle_angle_r_u,subtalar_angle_r_u,tibia_r_X,tibia_r_Y,tibia_r_Z,tibia_r_Ox,tibia_r_Oy,tibia_r_Oz,calcn_r_X,calcn_r_Y,calcn_r_Z,calcn_r_Ox,calcn_r_Oy,calcn_r_Oz,talus_r_X,talus_r_Y,talus_r_Z,talus_r_Ox,talus_r_Oy,talus_r_Oz
0.136 sec,-257.597,761.814,61.381,15.921,-3.362,173.399,3.891,0.206,2.521,-0,-0,-0,18.273,28.087,-39.625,-48.226,-0.296,0.309,0.439,9.349,-10.662,-19.534,-0.329,0.05,0.381,29.756,2.687,-3.435,-0.382,0.067,0.382,6.82,-13.413,-2.164
0.137 sec,-256.561,755.656,61.132,15.71,-3.469,171.975,3.88,0.195,2.513,-0,-0,-0,18.235,28.04,-39.83,-49.13,-0.296,0.309,0.439,9.411,-10.682,-19.561,-0.329,0.05,0.381,29.8,2.625,-3.481,-0.382,0.067,0.382,6.885,-13.426,-2.228
0.138 sec,-255.529,749.605,60.871,15.505,-3.574,170.571,3.869,0.184,2.505,-0,-0,-0,18.197,27.992,-39.977,-49.98,-0.295,0.309,0.439,9.473,-10.701,-19.587,-0.329,0.05,0.381,29.843,2.563,-3.526,-0.382,0.067,0.382,6.951,-13.437,-2.292
0.139 sec,-254.492,743.806,60.69,15.309,-3.695,169.223,3.858,0.173,2.497,-0,-0,-0,18.158,27.944,-40.071,-50.741,-0.295,0.309,0.439,9.535,-10.719,-19.612,-0.329,0.05,0.381,29.885,2.504,-3.57,-0.382,0.067,0.382,7.015,-13.448,-2.354
0.14 sec,-253.34,737.633,60.462,15.101,-3.825,167.785,3.846,0.162,2.488,-0,-0,-0,18.116,27.89,-40.133,-51.516,-0.295,0.309,0.44,9.603,-10.738,-19.638,-0.329,0.05,0.381,29.93,2.439,-3.617,-0.382,0.068,0.382,7.087,-13.458,-2.421
0.141 sec,-252.203,731.739,60.302,14.901,-3.969,166.41,3.833,0.15,2.479,-0,-0,-0,18.074,27.835,-40.156,-52.208,-0.295,0.309,0.44,9.67,-10.756,-19.662,-0.329,0.05,0.381,29.974,2.375,-3.664,-0.382,0.068,0.382,7.158,-13.468,-2.486
0.142 sec,-251.182,726.612,60.184,14.726,-4.105,165.212,3.822,0.14,2.472,-0,-0,-0,18.036,27.786,-40.148,-52.772,-0.295,0.309,0.44,9.731,-10.771,-19.683,-0.329,0.051,0.381,30.013,2.318,-3.705,-0.382,0.068,0.382,7.222,-13.476,-2.544
0.143 sec,-250.144,721.586,60.073,14.555,-4.245,164.038,3.81,0.129,2.464,-0,-0,-0,17.997,27.735,-40.116,-53.29,-0.295,0.309,0.441,9.794,-10.786,-19.703,-0.329,0.051,0.381,30.051,2.262,-3.747,-0.382,0.068,0.382,7.287,-13.483,-2.603
0.144 sec,-249.012,716.268,59.999,14.372,-4.41,162.794,3.796,0.118,2.455,-0,-0,-0,17.955,27.678,-40.059,-53.793,-0.294,0.309,0.441,9.862,-10.801,-19.724,-0.329,0.051,0.381,30.093,2.2,-3.791,-0.382,0.068,0.382,7.36,-13.49,-2.665
0.145 sec,-247.893,711.184,59.973,14.198,-4.583,161.604,3.783,0.107,2.446,-0,-0,-0,17.912,27.62,-39.983,-54.228,-0.294,0.309,0.441,9.93,-10.815,-19.744,-0.329,0.051,0.381,30.134,2.14,-3.835,-0.381,0.068,0.382,7.432,-13.496,-2.726
0.146 sec,-246.876,706.743,59.948,14.045,-4.739,160.565,3.77,0.097,2.438,-0,-0,-0,17.874,27.568,-39.901,-54.572,-0.294,0.309,0.442,9.992,-10.827,-19.761,-0.328,0.051,0.381,30.171,2.087,-3.874,-0.381,0.069,0.382,7.497,-13.5,-2.781
0.147 sec,-245.85,702.399,59.967,13.894,-4.907,159.548,3.757,0.086,2.43,-0,-0,-0,17.835,27.514,-39.81,-54.87,-0.294,0.309,0.442,10.055,-10.838,-19.778,-0.328,0.051,0.381,30.207,2.034,-3.914,-0.381,0.069,0.382,7.564,-13.504,-2.835
0.148 sec,-244.804,698.119,59.991,13.744,-5.077,158.546,3.744,0.076,2.421,-0,-0,-0,17.795,27.459,-39.71,-55.128,-0.294,0.31,0.442,10.119,-10.848,-19.794,-0.328,0.051,0.381,30.244,1.98,-3.953,-0.381,0.069,0.382,7.632,-13.507,-2.889
0.149 sec,-243.798,694.12,60.05,13.603,-5.248,157.61,3.731,0.066,2.413,-0,-0,-0,17.756,27.405,-39.611,-55.333,-0.294,0.31,0.443,10.182,-10.857,-19.808,-0.328,0.051,0.381,30.279,1.93,-3.991,-0.381,0.069,0.382,7.698,-13.509,-2.941
0.15 sec,-243.254,692.005,60.081,13.528,-5.341,157.115,3.724,0.061,2.409,-0,-0,-0,17.735,27.376,-39.558,-55.428,-0.294,0.31,0.443,10.215,-10.862,-19.815,-0.328,0.051,0.381,30.298,1.902,-4.011,-0.381,0.069,0.382,7.734,-13.51,-2.969
